name,lat,lon,province,category
กาดทุ่งเกวียน,18.327891,99.2812791,Lampang,Activity
สถาบันคชบาลแห่งชาติในพระอุปถัมภ์ฯ,18.3600666,99.2472345,Lampang,Activity
ตลาดประชารัฐ เอส เอ็ม แอล บ้านใหม่นาแขม,18.272779,99.6585264,Lampang,Activity
สะพานขัวแตะ วัดป่าพระเจ้าอุทุมพร,18.301052,99.459027,Lampang,Activity
ตลาดรัษฎา,18.2944707,99.5005673,Lampang,Activity
บ้านสวนเซรามิค,18.3162519,99.3683635,Lampang,Activity
โครงการพระราชดำริบ้านทุ่งจี้,18.5358301,99.4794906,Lampang,Activity
ฟาร์มแกะฮักยู,18.1299968,99.3915055,Lampang,Activity
เดอะ โคโค่ ลำปาง,18.1346086,99.3911447,Lampang,Activity
River Street Art Lampang,18.29355923,99.50279832,Lampang,Activity
ลำปางสตรีทอาร์ต,18.2935585,99.5028021,Lampang,Activity
สวนพฤกษชาติ  (ลานสไลเดอร์) เหมืองแม่เมาะ,18.31645918,99.74108242,Lampang,Activity
