name,lat,lon,province,category,open,close
พระตำหนักปางตอง,19.50162498,97.94566794,Mae Hong Son,Activity,8:30,16:30
ถนนคนเดินจังหวัดแม่ฮ่องสอน,19.29886392,97.96674603,Mae Hong Son,Activity,17:00,22:00
สวนสาธารณะหนองจองคำ,19.299105,97.9687079,Mae Hong Son,Activity,6:00,21:30
ศูนย์ศิลปาชีพจังหวัดแม่ฮ่องสอน ในพระบรมราชินูปถัมถ์,19.2857741,97.96114429,Mae Hong Son,Activity,10:00,19:00
เรือนประทับแรมโป่งแดง,19.26384818,97.93895169,Mae Hong Son,Activity,8:00,17:00
ร้านกาแฟ คอฟฟี่ อิน เลิฟ,19.3384255,98.4330855,Mae Hong Son,Activity,7:00,18:30
ปางช้างบ้านท่าปาย,19.2967503,98.4661945,Mae Hong Son,Activity,6:00,18:00
ถนนคนเดินปาย ,19.35947678,98.44153994,Mae Hong Son,Activity,18:00,22:00
ศูนย์โครงการพัฒนาตามพระราชดำริจังหวัดแม่ฮ่องสอน,19.27386609,97.94401162,Mae Hong Son,Activity,       8:30,17:00
ตลาดสายหยุด เทศบาลเมืองแม่ฮ่องสอน,19.30278262,97.96678894,Mae Hong Son,Activity,4:00,19:00
